cafe_name,location_name,full_address,main_food,like,image
딜리윗미,이태원,서울특별시 용산구 한남동 684-101,"몽블랑, 케이크, 카페",160,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200701021235_photo1_0UoOZNlTenDO.jpg
모로코코 카페,이태원,서울특별시 용산구 용산동2가 45-9,"샐러드, 카페",27,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210329033021_photo2_d779f5dc2a98.jpg
콜렉티보 커피,이태원,서울특별시 용산구 한남동 684-17,"아메리카노, 타르트, 카페",18,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200223014604866_photo_03f4004471bb.jpg
오지힐,이태원,서울특별시 용산구 이태원동 225-22,"파블로바, 아메리카노, 카페",13,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210410032256_photo2_4ce0d8546800.jpg
카페 사루,이태원,서울특별시 용산구 이태원2동 212-21,"커피, 카페, 카페라떼",33,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191226085732_photo1_26d4d3201797.jpg
스노잉,이태원,서울특별시 용산구 이태원동 342-3,"티라미수, 카페",9,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210124200902_photo1_187523595553.jpg
코타티,이태원,서울시 용산구 용산동2가 26-6,"호지차, 젤라또, 카페",4,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210212020227239_photo_c4a5a8209ecc.jpg
오아시스,이태원,서울특별시 용산구 한남동 745-10,"프렌치토스트, 브런치, 브런치카페",17,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210405061631_photo2_mm1F5kOrpCVI.jpg
와필레,이태원,서울특별시 용산구 이태원동 557,"아메리카노, 와플카페, 카페",2,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210327123553_photo1_4c475bf4099c.jpg
팬케이크샵,이태원,서울특별시 용산구 이태원동 455-1,"팬케이크, 카페, 디저트카페",12,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200523082616077_photo_0c355c4fe535.jpg
Everything But The Hero,이태원,서울특별시 용산구 이태원동 210-68 1층,"아메리카노, 카페, 카페라떼",39,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200803013312_photo1_a5c588dcba33.jpg
카페 노티드 한남,이태원,서울특별시 용산구 한남동 684-77 2층,"도너츠, 카페, cafe",2,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210128124410_photo1_858419c1d86b.jpg
C27,가로수길,서울특별시 강남구 신사동 545-12,"치즈케이크, 아이스아메리카노, 카페",659,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201104120315718_photo_4e25a1bf375c.jpg
겟썸커피,가로수길,서울특별시 강남구 신사동 551-32,"스콘, 아이스아메리카노, 카페",244,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210416112532_photo1_bb49b9b17e28.jpg
에이블,가로수길,서울특별시 강남구 신사동 547-6 2층,"에그베네딕트, 아메리카노, 브런치카페",221,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201029095818269_photo_4e25a1bf375c.jpg
듀자미,가로수길,서울특별시 강남구 신사동 535-9,"케이크, 딸기케이크, 카페",207,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210221124352_menu2_e5ca9fb9c466.jpg
우유니아이스크림,가로수길,서울특별시 강남구 신사동 529-6,"아이스크림, 카페, 디저트카페",46,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210413033604701_photo_57d74562f60f.jpg
아우어베이커리 가로수길점,가로수길,서울특별시 강남구 신사동 523-19,"아메리카노, 밀크티, 카페",46,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210120092458_photo4_b8c9c72e4d1e.jpg
르알래스카 가로수길점,가로수길,서울특별시 강남구 신사동 550-22,"빵, 빵집, 카페",255,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201026092240_photo1_VQqJSCTzFQ7q.jpg
베질루르,가로수길,서울특별시 강남구 신사동 554,"밀크티, 홍차, 카페",82,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200601012814_photo1_5bc03e33d566.jpg
더닐크팩토리카페,가로수길,서울특별시 강남구 신사동 521-22,"케이크, 당근케이크, 카페",25,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210114133519_photo1_0UoOZNlTenDO.jpg
식물학,가로수길,서울특별시 강남구 신사동 516-16,"밀크티, 아메리카노, 카페",67,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210419115118_photo1_81f97fbd9948.jpg
더앨리 가로수길점,가로수길,서울특별시 강남구 신사동 532-10,"밀크티, 흑당버블티, 카페",6,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200423080303169_photo_89525b15ce62.jpg
컬렉션라운지,가로수길,서울특별시 강남구 신사동 534,"라운지바, 칵테일바, 카페",66,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20181115125954206_photo0_OrWWNBDkrzXG.jpg
마망갸또 본점,가로수길,서울특별시 강남구 신사동 524-27 마망갸또하우스,"롤케이크, 카페, 카페라떼",61,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200906082200_photo1_081a9d78284b.jpg
카페 뮬라,가로수길,서울특별시 강남구 신사동 524-22,"아메리카노, 티라미수, 카페",57,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200903080351301_photo_4e25a1bf375c.jpg
테일러커피 신사점,가로수길,서울시 강남구 신사동 521-17,"크림모카, 커피, 카페",4,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201102030203_photo1_0557f756283a.jpg
비파티세리,가로수길,서울특별시 강남구 신사동 546-17,"아메리카노, 스콘, 카페",13,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210303104445_photo1_577e7ed4211d.jpg
플라워 아티장 베이커리 카페 가로수길점,가로수길,서울특별시 강남구 신사동 517-5 1층,"아이스아메리카노, 토스트, 카페",3,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201121010501_photo1_3b929888cbc2.jpg
